Ontology,image_url,meme_page_url,title
Image Macro,https://i.imgflip.com/4/8k0sa.jpg,https://imgflip.com/meme/Star-Wars-Yoda,Star Wars Yoda Meme
Exploitable,https://i.imgflip.com/4/28s2gu.jpg,https://imgflip.com/meme/Who-Killed-Hannibal,Who Killed Hannibal Meme
Exploitable,https://i.imgflip.com/4/1b42wl.jpg,https://imgflip.com/meme/Bike-Fall,Bike Fall Meme
Reaction,https://i.imgflip.com/4/392xtu.jpg,https://imgflip.com/meme/Spongebob-Ight-Imma-Head-Out,Spongebob Ight Imma Head Out Meme
Image Macro,https://i.imgflip.com/4/1bim.jpg,https://imgflip.com/meme/Creepy-Condescending-Wonka,Creepy Condescending Wonka Meme
Image Macro,https://i.imgflip.com/4/8p0a.jpg,https://imgflip.com/meme/Grumpy-Cat,Grumpy Cat Meme
Image Macro,https://i.imgflip.com/4/9sw43.jpg,https://imgflip.com/meme/But-Thats-None-Of-My-Business,But That's None Of My Business Meme
Image Macro,https://i.imgflip.com/4/1bh9.jpg,https://imgflip.com/meme/X-All-The-Y,X All The Y Meme
Image Macro,https://i.imgflip.com/4/26br.jpg,https://imgflip.com/meme/Dont-You-Squidward,Don't You Squidward Meme
Exploitable,https://i.imgflip.com/4/5c7lwq.jpg,https://imgflip.com/meme/322841258/Anakin-Padme-4-Panel,Anakin Padme 4 Panel Meme
Escalating Progression,https://i.imgflip.com/4/38el31.jpg,https://imgflip.com/meme/Clown-Applying-Makeup,Clown Applying Makeup Meme
Reaction,https://i.imgflip.com/4/wczz.jpg,https://imgflip.com/meme/Captain-Picard-Facepalm,Captain Picard Facepalm Meme
Exploitable,https://i.imgflip.com/4/54hjww.jpg,https://imgflip.com/meme/309868304/Trade-Offer,Trade Offer Meme
Reaction,https://i.imgflip.com/4/265j.jpg,https://imgflip.com/meme/Third-World-Success-Kid,Third World Success Kid Meme
Reaction,https://i.imgflip.com/4/51s5.jpg,https://imgflip.com/meme/Evil-Toddler,Evil Toddler Meme
Image Macro,https://i.imgflip.com/4/25w3.jpg,https://imgflip.com/meme/Matrix-Morpheus,Matrix Morpheus Meme
Duality,https://i.imgflip.com/4/1nck6k.jpg,https://imgflip.com/meme/Sleeping-Shaq,Sleeping Shaq Meme
Image Macro,https://i.imgflip.com/4/1bgs.jpg,https://imgflip.com/meme/Philosoraptor,Philosoraptor Meme
Image Macro,https://i.imgflip.com/4/4acd7j.jpg,https://imgflip.com/meme/Laughing-Leo,Laughing Leo Meme
Exploitable,https://i.imgflip.com/4/271ps6.jpg,https://imgflip.com/meme/Hard-To-Swallow-Pills,Hard To Swallow Pills Meme
Image Macro,https://i.imgflip.com/4/8h0c8.jpg,https://imgflip.com/meme/Black-Girl-Wat,Black Girl Wat Meme
Image Macro,https://i.imgflip.com/4/59qi.jpg,https://imgflip.com/meme/Picard-Wtf,Picard Wtf Meme
Exploitable,https://i.imgflip.com/4/1ooaki.jpg,https://imgflip.com/meme/Who-Would-Win,Who Would Win? Meme
Reaction,https://i.imgflip.com/4/jrj7.jpg,https://imgflip.com/meme/Laughing-Men-In-Suits,Laughing Men In Suits Meme
Image Macro,https://i.imgflip.com/4/64sz4u.jpg,https://imgflip.com/meme/370867422/Megamind-peeking,Megamind peeking Meme
Image Macro,https://i.imgflip.com/4/269s.jpg,https://imgflip.com/meme/10-Guy,10 Guy Meme
Image Macro,https://i.imgflip.com/4/26hg.jpg,https://imgflip.com/meme/Yo-Dawg-Heard-You,Yo Dawg Heard You Meme
Image Macro,https://i.imgflip.com/4/1bik.jpg,https://imgflip.com/meme/Too-Damn-High,Too Damn High Meme
Image Macro,https://i.imgflip.com/4/odluv.jpg,https://imgflip.com/meme/Dr-Evil-Laser,Dr Evil Laser Meme
Exploitable,https://i.imgflip.com/4/2cp1.jpg,https://imgflip.com/meme/Ill-Just-Wait-Here,I'll Just Wait Here Meme
Image Macro,https://i.imgflip.com/4/5kdc.jpg,https://imgflip.com/meme/Am-I-The-Only-One-Around-Here,Am I The Only One Around Here Meme
Exploitable,https://i.imgflip.com/4/2reqtg.jpg,https://imgflip.com/meme/166969924/Flex-Tape,Flex Tape Meme
Image Macro,https://i.imgflip.com/4/5mcpl.jpg,https://imgflip.com/meme/Face-You-Make-Robert-Downey-Jr,Face You Make Robert Downey Jr Meme
Exploitable,https://i.imgflip.com/4/1bil.jpg,https://imgflip.com/meme/Put-It-Somewhere-Else-Patrick,Put It Somewhere Else Patrick Meme
Duality,https://i.imgflip.com/4/u0pf0.jpg,https://imgflip.com/meme/50421420/Disappointed-Black-Guy,Disappointed Black Guy Meme
Exploitable,https://i.imgflip.com/4/xh3me.jpg,https://imgflip.com/meme/Be-Like-Bill,Be Like Bill Meme
Image Macro,https://i.imgflip.com/4/3i7p.jpg,https://imgflip.com/meme/Imagination-Spongebob,Imagination Spongebob Meme
Reaction,https://i.imgflip.com/4/hmt3v.jpg,https://imgflip.com/meme/Look-At-Me,Look At Me Meme
Exploitable,https://i.imgflip.com/4/7dusq.jpg,https://imgflip.com/meme/Bad-Pun-Dog,Bad Pun Dog Meme
Exploitable,https://i.imgflip.com/4/434i5j.jpg,https://imgflip.com/meme/247113703/A-train-hitting-a-school-bus,A train hitting a school bus Meme
Exploitable,https://i.imgflip.com/4/1yz6z4.jpg,https://imgflip.com/meme/119215120/Types-of-Headaches-meme,Types of Headaches meme Meme
